hollywoodFilms,Genre,rottenTomatoesRatings%,audienceRatings,budget
500 Days of Summer,Comedy,0.87,0.81,8
10000 B.C.,Adventure,0.09,0.44,105
12 Rounds,Action,0.3,0.52,20
127 Hours,Adventure,0.93,0.84,18
17 Again,Comedy,0.55,0.7,20
2012,Action,0.39,0.63,200
27 Dresses,Comedy,0.4,0.71,30
30 Days of Night,Horror,0.5,0.57,32
30 Minutes or Less,Comedy,0.43,0.48,28
300,Action,0.6,0.9,65
50/50,Comedy,0.93,0.93,8
88 Minutes,Drama,0.05,0.51,30
A Dangerous Method,Drama,0.79,0.89,20
A Nightmare on Elm Street,Horror,0.13,0.4,35
A Perfect Getaway,Mystery,0.61,0.5,14
A Serious Man,Drama,0.89,0.64,7
A Very Harold and Kumar Christmas,Comedy,0.72,0.71,19
Abduction,Action,0.04,0.46,35
Across the Universe,Romance,0.54,0.84,45
Adventureland,Comedy,0.89,0.56,10
Albert Nobbs,Drama,0.53,0.43,8
Alice in Wonderland,Adventure,0.52,0.72,200
Alien vs. Predator -- Requiem,Horror,0.14,0.37,40
Aliens in the Attic,Adventure,0.3,0.46,45
All About Steve,Comedy,0.06,0.35,15
All Good Things,Drama,0.33,0.64,20
Amelia,Adventure,0.21,0.35,40
American Gangster,Thriller,0.79,0.87,100
An Education,Drama,0.94,0.78,8
Angels & Demons,Mystery,0.36,0.65,150
Anonymous,Drama,0.46,0.66,30
Apollo 18,Horror,0.23,0.31,5
Appaloosa,Action,0.77,0.55,20
Armored,Action,0.4,0.34,20
Arthur,Comedy,0.26,0.49,40
Australia,Adventure,0.55,0.69,78
Avatar,Action,0.83,0.92,237
Away We Go,Comedy,0.67,0.74,21
Baby Mama,Comedy,0.63,0.59,70
Babylon A.D.,Action,0.07,0.32,45
Bad Teacher,Comedy,0.44,0.38,20
Bandslam,Comedy,0.79,0.6,20
Bangkok Dangerous,Action,0.09,0.33,45
Battle: Los Angeles,Action,0.35,0.5,70
Be Kind Rewind,Comedy,0.65,0.57,20
Beastly,Romance,0.19,0.5,17
Bedtime Stories,Comedy,0.25,0.63,80
Beginners,Comedy,0.84,0.8,4
Beowulf,Action,0.71,0.52,150
Beverly Hills Chihuahua,Adventure,0.41,0.56,20
Black Swan,Drama,0.88,0.86,13
Blades of Glory,Comedy,0.69,0.66,61
Body of Lies,Action,0.53,0.65,68
Bride Wars,Comedy,0.11,0.56,30
Bridesmaids,Comedy,0.9,0.77,33
Brooklyn's Finest,Action,0.42,0.47,17
Brothers,Drama,0.61,0.62,26
Bruno,Comedy,0.68,0.48,42
Buried,Drama,0.86,0.63,2
Burlesque,Drama,0.36,0.66,55
Burn After Reading,Comedy,0.78,0.64,37
Captain America: The First Avenger,Action,0.78,0.75,140
Case 39,Horror,0.23,0.42,26
Cats & Dogs: The Revenge of Kitty Galore,Action,0.13,0.43,85
Cedar Rapids,Comedy,0.86,0.61,10
Changeling,Drama,0.62,0.84,55
Cirque du Freak: The Vampire's Assistant,Action,0.38,0.5,40
City Island,Comedy,0.81,0.77,6
City of Ember,Adventure,0.52,0.48,38
Clash of the Titans,Action,0.28,0.48,125
Cloverfield,Action,0.77,0.67,25
College Road Trip,Adventure,0.13,0.56,140
Colombiana,Action,0.28,0.55,40
Conan the Barbarian,Action,0.22,0.34,90
Confessions of a Shopaholic,Comedy,0.24,0.53,70
Contagion,Thriller,0.84,0.63,60
Cop Out,Action,0.19,0.45,30
Country Strong,Drama,0.2,0.56,15
Couples Retreat,Comedy,0.12,0.47,60
Cowboys and Aliens,Action,0.44,0.5,163
Crank: High Voltage,Action,0.62,0.54,13
Crazy Stupid Love,Romance,0.78,0.81,50
Cyrus,Comedy,0.8,0.51,7
Daddy Day Camp,Comedy,0.01,0.63,6
Dance Flick,Action,0.17,0.35,25
Date Night,Comedy,0.66,0.58,55
Daybreakers,Action,0.67,0.5,20
Dear John,Drama,0.29,0.66,25
Death at a Funeral,Comedy,0.4,0.48,21
Death Race,Action,0.42,0.69,45
Definitely Maybe,Comedy,0.71,0.72,7
Devil,Horror,0.52,0.45,10
Diary of a Wimpy Kid,Comedy,0.53,0.49,15
Diary of a Wimpy Kid 2: Rodrick Rules,Comedy,0.47,0.63,21
Did You Hear About the Morgans,Comedy,0.12,0.31,58
Dinner for Schmucks,Comedy,0.43,0.47,69
Disaster Movie,Comedy,0.02,0.28,20
District 9,Action,0.91,0.81,30
Disturbia,Thriller,0.67,0.75,20
Dolphin Tale,Drama,0.84,0.81,37
Dont Be Afraid Of The Dark,Horror,0.59,0.37,25
Doomsday,Action,0.48,0.47,33
Doubt,Drama,0.78,0.75,25
Drag Me to Hell,Horror,0.92,0.61,30
Dragon Wars (aka D-War),Action,0.27,0.44,75
Dragonball Evolution,Action,0.15,0.28,30
Dream House,Horror,0.07,0.38,50
Drillbit Taylor,Comedy,0.26,0.49,40
Drive,Thriller,0.93,0.79,15
Drive Angry,Action,0.45,0.38,45
Due Date,Comedy,0.4,0.56,50
Duplicity,Romance,0.64,0.38,60
Dylan Dog: Dead of Night,Horror,0.06,0.28,20
Eagle Eye,Action,0.27,0.72,80
Easy A,Comedy,0.85,0.75,8
Eat Pray Love,Drama,0.36,0.46,60
Enchanted,Comedy,0.93,0.8,85
Epic Movie,Comedy,0.02,0.38,20
Evan Almighty,Comedy,0.23,0.56,175
Everybody's Fine,Drama,0.46,0.55,21
Everything Must Go,Drama,0.74,0.53,5
Extract,Comedy,0.62,0.37,8
