Timestamp,Brands
2018/12/12 9:27:05 PM GMT+7,KOI The
2018/12/12 9:28:40 PM GMT+7,Ochaya
2018/12/12 9:29:27 PM GMT+7,KOI The
2018/12/12 9:47:50 PM GMT+7,Mr. Shake
2018/12/12 9:47:57 PM GMT+7,CHA BAR
2018/12/13 11:28:52 AM GMT+7,Mr. Shake
2018/12/13 11:30:39 AM GMT+7,Ochaya
2018/12/13 11:30:48 AM GMT+7,Coco
2018/12/13 11:30:57 AM GMT+7,Ochaya
2018/12/13 11:33:08 AM GMT+7,Ochaya
2018/12/13 11:34:30 AM GMT+7,Mr. Shake
2018/12/13 11:35:04 AM GMT+7,Mr. Shake
2018/12/13 11:35:12 AM GMT+7,Ochaya
2018/12/13 11:36:25 AM GMT+7,Ochaya
2018/12/13 11:38:15 AM GMT+7,KOI The
2018/12/13 11:38:25 AM GMT+7,Coco
2018/12/13 11:38:59 AM GMT+7,KOI The
2018/12/13 11:39:35 AM GMT+7,KOI The
2018/12/13 11:40:03 AM GMT+7,Ochaya
2018/12/13 11:41:14 AM GMT+7,Kamu
2018/12/13 11:41:44 AM GMT+7,Kamu
2018/12/13 11:42:02 AM GMT+7,KOI The
2018/12/13 11:42:26 AM GMT+7,Ochaya
2018/12/13 11:42:36 AM GMT+7,Mikucha
2018/12/13 11:43:42 AM GMT+7,Coco
2018/12/13 11:44:08 AM GMT+7,Mikucha
2018/12/13 11:44:19 AM GMT+7,Dakashi
2018/12/13 11:44:23 AM GMT+7,Ochaya
2018/12/13 11:44:39 AM GMT+7,KOI The
2018/12/13 11:44:52 AM GMT+7,Ochaya
2018/12/13 11:45:05 AM GMT+7,ATM Tea Bar
2018/12/13 11:45:48 AM GMT+7,Ochaya
2018/12/13 11:46:19 AM GMT+7,KOI The
2018/12/13 11:48:40 AM GMT+7,Moma's Bubble Tea Bar
2018/12/13 11:48:47 AM GMT+7,The alley
2018/12/13 11:49:04 AM GMT+7,Mikucha
2018/12/13 11:49:19 AM GMT+7,KOI The
2018/12/13 11:50:38 AM GMT+7,Mr. Shake
2018/12/13 11:51:07 AM GMT+7,KOI The
2018/12/13 11:51:12 AM GMT+7,Kamu
2018/12/13 11:52:58 AM GMT+7,Dakashi
2018/12/13 11:58:25 AM GMT+7,KOI The
2018/12/13 11:58:45 AM GMT+7,Mikucha
2018/12/13 11:58:55 AM GMT+7,KOI The
2018/12/13 11:59:07 AM GMT+7,KOI The
2018/12/13 11:59:54 AM GMT+7,Ochaya
2018/12/13 12:00:05 PM GMT+7,KOI The
2018/12/13 12:00:20 PM GMT+7,Ochaya
2018/12/13 12:02:51 PM GMT+7,The alley
2018/12/13 12:03:12 PM GMT+7,Coco
2018/12/13 12:06:40 PM GMT+7,Ochaya
2018/12/13 12:09:03 PM GMT+7,Ochaya
2018/12/13 12:10:13 PM GMT+7,Kamu
2018/12/13 12:10:40 PM GMT+7,KOI The
2018/12/13 12:11:34 PM GMT+7,Mikucha
2018/12/13 12:12:39 PM GMT+7,Mikucha
2018/12/13 12:12:46 PM GMT+7,ATM Tea Bar
2018/12/13 12:12:52 PM GMT+7,Mr. Shake
2018/12/13 12:13:25 PM GMT+7,Kamu
2018/12/13 12:13:33 PM GMT+7,KOI The
2018/12/13 12:13:49 PM GMT+7,Mikucha
2018/12/13 12:14:59 PM GMT+7,Moma's Bubble Tea Bar
2018/12/13 12:15:05 PM GMT+7,ATM Tea Bar
2018/12/13 12:15:12 PM GMT+7,Ochaya
2018/12/13 12:15:18 PM GMT+7,KOI The
2018/12/13 12:15:25 PM GMT+7,Kamu
2018/12/13 12:15:31 PM GMT+7,Mr. Shake
2018/12/13 12:15:39 PM GMT+7,Mikucha
2018/12/13 12:15:44 PM GMT+7,Coco
2018/12/13 12:15:53 PM GMT+7,Mikucha
2018/12/13 12:36:29 PM GMT+7,Coco
2018/12/13 12:36:36 PM GMT+7,Mr. Shake
2018/12/13 12:36:43 PM GMT+7,Ochaya
2018/12/13 12:36:50 PM GMT+7,Kamu
2018/12/13 12:36:56 PM GMT+7,KOI The
2018/12/13 12:37:04 PM GMT+7,The alley
2018/12/13 12:37:20 PM GMT+7,Mikucha
2018/12/13 12:37:29 PM GMT+7,Kamu
2018/12/13 12:37:40 PM GMT+7,KOI The
2018/12/13 12:37:47 PM GMT+7,Ochaya
2018/12/13 12:37:56 PM GMT+7,Dakashi
2018/12/13 12:38:02 PM GMT+7,The alley
2018/12/13 12:38:09 PM GMT+7,Ochaya
2018/12/13 12:38:17 PM GMT+7,KOI The
2018/12/13 12:38:19 PM GMT+7,KOI The
2018/12/13 12:38:29 PM GMT+7,ATM Tea Bar
2018/12/13 12:38:40 PM GMT+7,Kamu
2018/12/13 12:38:45 PM GMT+7,Mikucha
2018/12/13 12:38:51 PM GMT+7,Mr. Shake
2018/12/13 12:38:57 PM GMT+7,KOI The
2018/12/13 12:39:13 PM GMT+7,Kamu
2018/12/13 12:39:19 PM GMT+7,Kamu
2018/12/13 12:39:46 PM GMT+7,Mikucha
2018/12/13 12:39:54 PM GMT+7,Mr. Shake
2018/12/13 12:40:02 PM GMT+7,Mr. Shake
2018/12/13 12:40:03 PM GMT+7,Ochaya
2018/12/13 12:40:32 PM GMT+7,Mr. Shake
2018/12/13 12:40:42 PM GMT+7,Mikucha
2018/12/13 12:40:53 PM GMT+7,Mikucha
2018/12/13 12:41:06 PM GMT+7,ATM Tea Bar
